timestamp,count,event_type
8499752,4220936,sync_qpc_time
8500237,4220936,cpu_time
8583089,4220937,sync_qpc_time
8583311,4220937,cpu_time
8666582,4220938,sync_qpc_time
8667396,4220938,cpu_time
8749837,4220939,sync_qpc_time
8750666,4220939,cpu_time
8833166,4220940,sync_qpc_time
8833409,4220940,cpu_time
8916548,4220941,sync_qpc_time
8916792,4220941,cpu_time
8999819,4220942,sync_qpc_time
9000042,4220942,cpu_time
9083193,4220943,sync_qpc_time
9083448,4220943,cpu_time
9166546,4220944,sync_qpc_time
9167037,4220944,cpu_time
9249845,4220945,sync_qpc_time
9250068,4220945,cpu_time
9333188,4220946,sync_qpc_time
9334246,4220946,cpu_time
9416586,4220947,sync_qpc_time
9416850,4220947,cpu_time
9499879,4220948,sync_qpc_time
9500240,4220948,cpu_time
9583299,4220949,sync_qpc_time
9584444,4220949,cpu_time
9666861,4220950,sync_qpc_time
9667138,4220950,cpu_time
9749932,4220951,sync_qpc_time
9750173,4220951,cpu_time
9833317,4220952,sync_qpc_time
9833591,4220952,cpu_time
9916608,4220953,sync_qpc_time
9917024,4220953,cpu_time
9999996,4220954,sync_qpc_time
10000257,4220954,cpu_time
10083322,4220955,sync_qpc_time
10083574,4220955,cpu_time
10166654,4220956,sync_qpc_time
10167193,4220956,cpu_time
10250017,4220957,sync_qpc_time
10250523,4220957,cpu_time
10333353,4220958,sync_qpc_time
10334272,4220958,cpu_time
10416707,4220959,sync_qpc_time
10416965,4220959,cpu_time
10500049,4220960,sync_qpc_time
10500294,4220960,cpu_time
10583415,4220961,sync_qpc_time
10583658,4220961,cpu_time
10666736,4220962,sync_qpc_time
10666949,4220962,cpu_time
10750109,4220963,sync_qpc_time
10751203,4220963,cpu_time
10833523,4220964,sync_qpc_time
10834628,4220964,cpu_time
10916782,4220965,sync_qpc_time
10917412,4220965,cpu_time
11000106,4220966,sync_qpc_time
11001154,4220966,cpu_time
11083494,4220967,sync_qpc_time
11083758,4220967,cpu_time
11166818,4220968,sync_qpc_time
11167071,4220968,cpu_time
11250161,4220969,sync_qpc_time
11250413,4220969,cpu_time
11333541,4220970,sync_qpc_time
11334217,4220970,cpu_time
11416834,4220971,sync_qpc_time
11417054,4220971,cpu_time
11500310,4220972,sync_qpc_time
11501046,4220972,cpu_time
11583533,4220973,sync_qpc_time
11584020,4220973,cpu_time
11666904,4220974,sync_qpc_time
11667177,4220974,cpu_time
11750251,4220975,sync_qpc_time
11750733,4220975,cpu_time
11834195,4220976,sync_qpc_time
11834742,4220976,cpu_time
11916933,4220977,sync_qpc_time
11917182,4220977,cpu_time
12000270,4220978,sync_qpc_time
12000653,4220978,cpu_time
12083619,4220979,sync_qpc_time
12083860,4220979,cpu_time
12166966,4220980,sync_qpc_time
12167213,4220980,cpu_time
12250306,4220981,sync_qpc_time
12250568,4220981,cpu_time
12333656,4220982,sync_qpc_time
12333901,4220982,cpu_time
12417030,4220983,sync_qpc_time
12417280,4220983,cpu_time
12500348,4220984,sync_qpc_time
12500600,4220984,cpu_time
12583700,4220985,sync_qpc_time
12584150,4220985,cpu_time
12667165,4220986,sync_qpc_time
12667586,4220986,cpu_time
12750391,4220987,sync_qpc_time
12750784,4220987,cpu_time
12833735,4220988,sync_qpc_time
12833990,4220988,cpu_time
12917069,4220989,sync_qpc_time
12917289,4220989,cpu_time
13000471,4220990,sync_qpc_time
13000765,4220990,cpu_time
13083777,4220991,sync_qpc_time
13084029,4220991,cpu_time
13167270,4220992,sync_qpc_time
13167576,4220992,cpu_time
13250470,4220993,sync_qpc_time
13250718,4220993,cpu_time
13333801,4220994,sync_qpc_time
13334057,4220994,cpu_time
13417191,4220995,sync_qpc_time
13417484,4220995,cpu_time
13500516,4220996,sync_qpc_time
13500791,4220996,cpu_time
13583896,4220997,sync_qpc_time
13584262,4220997,cpu_time
13667256,4220998,sync_qpc_time
13667605,4220998,cpu_time
13750554,4220999,sync_qpc_time
13750851,4220999,cpu_time
13833910,4221000,sync_qpc_time
13834169,4221000,cpu_time
13917262,4221001,sync_qpc_time
13917576,4221001,cpu_time
14000603,4221002,sync_qpc_time
14000865,4221002,cpu_time
14083951,4221003,sync_qpc_time
14084240,4221003,cpu_time
14167333,4221004,sync_qpc_time
14171166,4221004,cpu_time
14250609,4221005,sync_qpc_time
14250917,4221005,cpu_time
14333979,4221006,sync_qpc_time
14334450,4221006,cpu_time
14417327,4221007,sync_qpc_time
14417577,4221007,cpu_time
14500678,4221008,sync_qpc_time
14500947,4221008,cpu_time
14584006,4221009,sync_qpc_time
14584230,4221009,cpu_time
14667445,4221010,sync_qpc_time
14668371,4221010,cpu_time
14750701,4221011,sync_qpc_time
14750942,4221011,cpu_time
14834047,4221012,sync_qpc_time
14834294,4221012,cpu_time
14917390,4221013,sync_qpc_time
14917631,4221013,cpu_time
15000756,4221014,sync_qpc_time
15001020,4221014,cpu_time
15084093,4221015,sync_qpc_time
15084341,4221015,cpu_time
15167417,4221016,sync_qpc_time
15167871,4221016,cpu_time
15251246,4221017,sync_qpc_time
15251612,4221017,cpu_time
15334125,4221018,sync_qpc_time
15334373,4221018,cpu_time
15417490,4221019,sync_qpc_time
15417758,4221019,cpu_time
15500811,4221020,sync_qpc_time
15501067,4221020,cpu_time
15584164,4221021,sync_qpc_time
15584448,4221021,cpu_time
15667492,4221022,sync_qpc_time
15667888,4221022,cpu_time
15750882,4221023,sync_qpc_time
15751186,4221023,cpu_time
15834225,4221024,sync_qpc_time
15834501,4221024,cpu_time
15917565,4221025,sync_qpc_time
15917845,4221025,cpu_time
16000932,4221026,sync_qpc_time
16001208,4221026,cpu_time
16084257,4221027,sync_qpc_time
